nama_product,brand,shop_id,shop_city,isOfficial,isVerified,price,terjualCount,ratingAverage,viewCount,likedCount,jenis
vienka skin care skincare saffron shafron safron brightening facial wash 100 ml bpom halal,Vienka Skin Care,332307361,KOTA BEKASI,True,False,161000,8,5.0,184,6,Facial Wash
promoo!!!bee botanic propolis facial wash hdi sabun muka propolis hdi,Others,21208500,KOTA BANDUNG,False,False,160000,113,4.99,325,39,Facial Wash
moreskin glaskin paket /glaskin/paket nasa/skincare moreskin/day cream/night cream/toner/facial wash,Others,221521002,KAB. NGAWI,False,False,160000,15,4.88,445,5,Facial Wash
facial wash taqychan skincare with extract saffron,Others,244770559,KAB. LAMPUNG TIMUR,False,False,160000,15,5.0,16,0,Facial Wash
paket emina bright stuff glowing daily facial wash 8 pcs - pembersih wajah - skin care,Emina,292006957,KOTA SURABAYA,False,True,159900,117,4.84,1206,213,Facial Wash
i trust nature spirulina gel cleanser - gentle & hydrating skin ph friendly,I Trust Nature,221165911,KAB. TANGERANG,True,False,159000,1119,4.95,3130,1377,Facial Wash
new facial face cleanser wash facewash skincare skin care perawatan kecantikan pembersih kulit wajah,New,358675890,KOTA JAKARTA BARAT,False,False,157500,49,5.0,34,0,Facial Wash
skinsena glowing series paket b with facial wash free gift & bubble warp,Others,15646217,KAB. MADIUN,False,False,157000,20,4.92,178,4,Facial Wash
lacoco ultimate golden swallow facial foam pembersih wajah dari kotoran debu polusi & makeup 100 g,Others,436261835,KAB. DEMAK,False,False,155249,19,0.0,13,5,Facial Wash
facial wash acne 2  glafidsya  skincare  kosmetik,Glafidsya Medika,116310944,KOTA TANGERANG SELATAN,False,True,155000,1188,4.9,1623,260,Facial Wash
facial wash acne 3  glafidsya  skincare  kosmetik,Glafdisya Medika,116310944,KOTA TANGERANG SELATAN,False,True,155000,223,4.9,486,75,Facial Wash
facial wash acne 4  glafidsya  skincare  kosmetik,Glafidsya Medika,116310944,KOTA TANGERANG SELATAN,False,True,155000,650,4.91,1217,126,Facial Wash
facial wash glowing  glafidsya  skincare  kosmetik,Glafdisya Medika,116310944,KOTA TANGERANG SELATAN,False,True,155000,602,4.83,377,180,Facial Wash
facial wash whitening new  glafidsya  skincare  kosmetik,Glafdisya Medika,116310944,KOTA TANGERANG SELATAN,False,True,155000,414,4.91,685,160,Facial Wash
temizman paket lengkap facial wash serum mosturizer exfoliator skincare pria skincare cowok,Others,226147004,KOTA TANGERANG,False,True,155000,270,4.86,694,172,Facial Wash
facial wash gel bee botanics propolis 250g,Others,43254903,KOTA SALATIGA,False,False,154999,11,5.0,152,4,Facial Wash
bee botanics propolis facial wash gel 250gram paling murah,Others,47222710,KAB. SIDOARJO,False,False,154700,18,5.0,221,4,Facial Wash
twinpack senka perfect whip collagen-in 120g  pembersih wajah  anti aging  facial foam ,Senka,138850166,KOTA TANGERANG,True,False,154000,2376,4.95,5488,1470,Facial Wash
his erha  gentle acne facial wash + acne essence - isi 2  sabun muka + serum jerawat khusus pria,His Erha,392184863,KOTA BEKASI,False,True,153900,699,5.0,263,10,Facial Wash
sebamed clear face antibacterial facial foam 150ml 150 ml,Others,286883765,KAB. TANGERANG,False,True,153500,147,4.97,407,46,Facial Wash
wardah white secret mini paket day 17ml night 17ml facial wash serum,Wardah,9404660,KAB. SRAGEN,False,True,153075,177,4.85,1103,198,Facial Wash
gentle facial wash for normal to dry skin,Sbcskin,214444345,KOTA JAKARTA UTARA,False,False,153000,186,4.98,95,41,Facial Wash
gentle facial wash for oily skin,Others,214444345,KOTA JAKARTA UTARA,False,False,153000,160,4.95,66,27,Facial Wash
sbcskin - gentle facial wash for normal to dry skin,Others,229435322,KAB. SUKABUMI,True,False,153000,169,5.0,236,59,Facial Wash
sbcskin - gentle facial wash for oily skin,Others,229435322,KAB. SUKABUMI,True,False,153000,169,4.98,182,37,Facial Wash
the bath box salted honey facial wash 100ml,The bath box,228402920,KOTA BOGOR,False,True,152150,86,4.98,156,50,Facial Wash
the bath box salted honey moisturizing facial wash original,The bath box,2834939,KOTA BEKASI,False,False,152150,133,4.93,336,73,Facial Wash
jne jtr wardah white secret paket kecil isi 4 day night serum facialwash,Wardah,15465018,KOTA CIREBON,False,True,152100,2359,4.84,2204,2037,Facial Wash
promo diskon 75% !! dr haskin skincare feminine wash face facial wash standee poster mew gulf,Others,264066205,KOTA SURAKARTA (SOLO),False,False,151500,10,5.0,193,3,Facial Wash
belgie pro facial wash ippho santosa,Others,169170294,KOTA SURABAYA,False,False,150000,68,5.0,95,3,Facial Wash
belgie pro skincare paket perawatan wajah wanita premium facial wash anti aging serum night cream,belgie pro,171716344,KOTA SURABAYA,False,True,150000,155,4.86,1419,29,Facial Wash
rodeos charcoal soap paket 3 pcs  sabun wajah  sabun jerawat,Others,92918491,KOTA SUKABUMI,True,False,150000,5076,4.81,3876,1347,Facial Wash
bee botanic propolis facial wash gel hdi 250 ml,Others,69795409,KOTA MEDAN,False,False,150000,63,5.0,588,19,Facial Wash
arayu facial wash for acne prone skin 60gr,Arayu,276990724,KOTA MAKASSAR,False,True,150000,2728,4.97,2182,138,Facial Wash
belgie pro facial wash 100ml anti aging pembersih wajah dengan ekstrak propolis #skincare #belgiepro,Others,25955939,KOTA JAKARTA UTARA,False,False,150000,702,5.0,39,0,Facial Wash
belgie pro facial wash 100ml with propolis ippho santosa original ready bisa cod,Others,114526912,KOTA JAKARTA UTARA,False,False,150000,822,4.88,484,257,Facial Wash
belgie pro facial wash anti aging pembersih wajah 100 ml dengan ekstrak propolis ippho santosa,Belgie Pro,159566277,KOTA JAKARTA UTARA,False,True,150000,703,5.0,122,268,Facial Wash
belgie pro facial wash pembersih muka extrac propolis dan kolagen,Others,22920110,KOTA JAKARTA UTARA,False,True,150000,750,4.94,283,9,Facial Wash
facial wash belgie pro with propolis ippho santosa,Others,98718599,KOTA JAKARTA UTARA,False,False,150000,735,4.8,234,12,Facial Wash
facial wash pembersih wajah belgie pro with propolis ippho santosa,Belgie Pro,8135506,KOTA JAKARTA UTARA,False,False,150000,100,5.0,97,100,Facial Wash
facial wash pembersih wajah belgie pro with propolis ippho santosa,Belgie Pro,426210190,KOTA JAKARTA UTARA,False,False,150000,200,5.0,135,2,Facial Wash
arayu facial wash for acne prone skin 60gr,Arayu,252047848,KOTA JAKARTA SELATAN,False,False,150000,23,5.0,74,2,Facial Wash
scarlett paket perawatan wajah serum dan whitening facial wash,Scarlett,369855640,KOTA JAKARTA PUSAT,False,False,150000,30,4.8,1361,14,Facial Wash
belgie pro facial wash  facial wash anti aging  halal bpom  original gratis ongkir  belgiepro,Others,38263949,KOTA JAKARTA BARAT,False,False,150000,249,4.96,224,13,Facial Wash
belgie pro glowing serum anti aging & facial wash  sabun muka - pria wanita - halal bpom,Others,186473952,KOTA DEPOK,False,False,150000,100,5.0,153,1,Facial Wash
